PLAYER_ID,Player,Team,Position
1631210,Jacob Toppin,Atlanta Hawks,F
1630552,Jalen Johnson,Atlanta Hawks,F
1630811,Keaton Wallace,Atlanta Hawks,G
1628379,Luke Kennard,Atlanta Hawks,G
1630700,Dyson Daniels,Atlanta Hawks,G
1629638,Nickeil Alexander-Walker,Atlanta Hawks,G
204001,Kristaps Porziņģis,Atlanta Hawks,F-C
1642258,Zaccharie Risacher,Atlanta Hawks,F
1629027,Trae Young,Atlanta Hawks,G
1642368,N'Faly Dante,Atlanta Hawks,C
1642854,Asa Newell,Atlanta Hawks,F
1630168,Onyeka Okongwu,Atlanta Hawks,F-C
1631243,Mouhamed Gueye,Atlanta Hawks,F
1642365,Nikola Đurišić,Atlanta Hawks,G
1630249,Vít Krejčí,Atlanta Hawks,G
1642947,Eli John Ndiaye,Atlanta Hawks,F
1631216,Caleb Houstan,Atlanta Hawks,G
1628369,Jayson Tatum,Boston Celtics,F-G
1629014,Anfernee Simons,Boston Celtics,G
1627759,Jaylen Brown,Boston Celtics,G-F
1631169,Josh Minott,Boston Celtics,F
1628401,Derrick White,Boston Celtics,G
1630202,Payton Pritchard,Boston Celtics,G
1631199,Ron Harper Jr.,Boston Celtics,G-F
1628449,Chris Boucher,Boston Celtics,F
1630214,Xavier Tillman,Boston Celtics,F
1641775,Jordan Walsh,Boston Celtics,G
1642864,Hugo González,Boston Celtics,G
1642917,Max Shulga,Boston Celtics,G
1630573,Sam Hauser,Boston Celtics,F
1630568,Luka Garza,Boston Celtics,C
1631248,Baylor Scheierman,Boston Celtics,G
1642873,Amari Williams,Boston Celtics,F-C
1629674,Neemias Queta,Boston Celtics,C
1629622,Max Strus,Cleveland Cavaliers,G-F
1628366,Lonzo Ball,Cleveland Cavaliers,G
1628418,Thomas Bryant,Cleveland Cavaliers,C-F
1630596,Evan Mobley,Cleveland Cavaliers,C
1630241,Sam Merrill,Cleveland Cavaliers,G
1641854,Craig Porter Jr.,Cleveland Cavaliers,G
1629636,Darius Garland,Cleveland Cavaliers,G
1629631,De'Andre Hunter,Cleveland Cavaliers,F-G
1642281,Jaylon Tyson,Cleveland Cavaliers,G-F
1626204,Larry Nance Jr.,Cleveland Cavaliers,F-C
1642878,Tyrese Proctor,Cleveland Cavaliers,G
1641772,Nae'Qwan Tomlin,Cleveland Cavaliers,F
1628386,Jarrett Allen,Cleveland Cavaliers,C
1629731,Dean Wade,Cleveland Cavaliers,F-C
1631247,Luke Travers,Cleveland Cavaliers,F
1628378,Donovan Mitchell,Cleveland Cavaliers,G
1642847,Jeremiah Fears,New Orleans Pelicans,G
1629627,Zion Williamson,New Orleans Pelicans,F
1630529,Herbert Jones,New Orleans Pelicans,F
1629673,Jordan Poole,New Orleans Pelicans,G
1630621,Hunter Dickinson,New Orleans Pelicans,C
1627749,Dejounte Murray,New Orleans Pelicans,G
1630531,Jaden Springer,New Orleans Pelicans,G
1631121,Bryce McGowens,New Orleans Pelicans,G
1642877,Micah Peavy,New Orleans Pelicans,G-F
1630631,Jose Alvarado,New Orleans Pelicans,G
1631255,Karlo Matković,New Orleans Pelicans,F-C
1642274,Yves Missi,New Orleans Pelicans,C
1642852,Derik Queen,New Orleans Pelicans,C
1641725,Trey Alexander,New Orleans Pelicans,G
1641722,Jordan Hawkins,New Orleans Pelicans,G
1630530,Trey Murphy III,New Orleans Pelicans,F
1630180,Saddiq Bey,New Orleans Pelicans,G-F
1626172,Kevon Looney,New Orleans Pelicans,F
1629632,Coby White,Chicago Bulls,G
1641801,Emanuel Miller,Chicago Bulls,F
1630581,Josh Giddey,Chicago Bulls,G
1628975,Jevon Carter,Chicago Bulls,G
1631207,Dalen Terry,Chicago Bulls,F
1642280,Trentyn Flowers,Chicago Bulls,F
202696,Nikola Vučević,Chicago Bulls,C
1630245,Ayo Dosunmu,Chicago Bulls,G
1628380,Zach Collins,Chicago Bulls,F-C
1628989,Kevin Huerter,Chicago Bulls,G-F
1641824,Matas Buzelis,Chicago Bulls,F
1641763,Julian Phillips,Chicago Bulls,F
1642855,Noa Essengue,Chicago Bulls,F
1630188,Jalen Smith,Chicago Bulls,F-C
1630200,Tre Jones,Chicago Bulls,G
1630171,Isaac Okoro,Chicago Bulls,F-G
1630172,Patrick Williams,Chicago Bulls,F
1642950,Lachlan Olbrich,Chicago Bulls,C
203957,Danté Exum,Dallas Mavericks,G
1631108,Max Christie,Dallas Mavericks,G
1630702,Jaden Hardy,Dallas Mavericks,G
1641726,Dereck Lively II,Dallas Mavericks,C
203076,Anthony Davis,Dallas Mavericks,F-C
1626156,D'Angelo Russell,Dallas Mavericks,G
203939,Dwight Powell,Dallas Mavericks,F-C
1642948,Ryan Nembhard,Dallas Mavericks,G
1630314,Brandon Williams,Dallas Mavericks,G
202681,Kyrie Irving,Dallas Mavericks,G
1630230,Naji Marshall,Dallas Mavericks,F
1642939,Miles Kelly,Dallas Mavericks,G
1628997,Caleb Martin,Dallas Mavericks,F
1629655,Daniel Gafford,Dallas Mavericks,F-C
1629023,P.J. Washington,Dallas Mavericks,F
1630619,Moussa Cisse,Dallas Mavericks,C
202691,Klay Thompson,Dallas Mavericks,G
1642843,Cooper Flagg,Dallas Mavericks,F
1631128,Christian Braun,Denver Nuggets,G
1642938,Curtis Jones,Denver Nuggets,G
1631124,Julian Strawther,Denver Nuggets,G
1641816,Hunter Tyson,Denver Nuggets,F
1642926,Tamar Bates,Denver Nuggets,G
1631212,Peyton Watson,Denver Nuggets,G
203501,Tim Hardaway Jr.,Denver Nuggets,G-F
1628971,Bruce Brown,Denver Nuggets,G-F
1641747,DaRon Holmes II,Denver Nuggets,F
203999,Nikola Jokić,Denver Nuggets,C
202685,Jonas Valančiūnas,Denver Nuggets,C
1642461,Spencer Jones,Denver Nuggets,F
1630192,Zeke Nnaji,Denver Nuggets,F-C
1629661,Cameron Johnson,Denver Nuggets,F
1629618,Jalen Pickett,Denver Nuggets,G
1627750,Jamal Murray,Denver Nuggets,G
203932,Aaron Gordon,Denver Nuggets,F
1627780,Gary Payton II,Golden State Warriors,G
1630228,Jonathan Kuminga,Golden State Warriors,F
1641764,Brandin Podziemski,Golden State Warriors,G
1642954,Will Richard,Golden State Warriors,G
1630541,Moses Moody,Golden State Warriors,G
1627741,Buddy Hield,Golden State Warriors,G
1629001,De'Anthony Melton,Golden State Warriors,G
202710,Jimmy Butler III,Golden State Warriors,F
1630611,Gui Santos,Golden State Warriors,F
201143,Al Horford,Golden State Warriors,C-F
1642366,Quinten Post,Golden State Warriors,C
1642893,Alex Toohey,Golden State Warriors,F
203110,Draymond Green,Golden State Warriors,F
201939,Stephen Curry,Golden State Warriors,G
1631218,Trayce Jackson-Davis,Golden State Warriors,F
1642050,Jackson Rowe,Golden State Warriors,F
1630311,Pat Spencer,Golden State Warriors,G
1628988,Aaron Holiday,Houston Rockets,G
1641708,Amen Thompson,Houston Rockets,G-F
1627827,Dorian Finney-Smith,Houston Rockets,F
1627832,Fred VanVleet,Houston Rockets,G
201142,Kevin Durant,Houston Rockets,F
1630256,Jae'Sean Tate,Houston Rockets,F
1630284,Kevon Harris,Houston Rockets,G
1631095,Jabari Smith Jr.,Houston Rockets,F
203500,Steven Adams,Houston Rockets,C
1642263,Reed Sheppard,Houston Rockets,G
1631106,Tari Eason,Houston Rockets,F
1631120,JD Davison,Houston Rockets,G
1629006,Josh Okogie,Houston Rockets,G
1642384,Isaiah Crawford,Houston Rockets,F
1630578,Alperen Sengun,Houston Rockets,C
203991,Clint Capela,Houston Rockets,C
201145,Jeff Green,Houston Rockets,F
203078,Bradley Beal,Los Angeles Clippers,G
201935,James Harden,Los Angeles Clippers,G
202695,Kawhi Leonard,Los Angeles Clippers,F
101108,Chris Paul,Los Angeles Clippers,G
1642920,Kobe Sanders,Los Angeles Clippers,G
1627884,Derrick Jones Jr.,Los Angeles Clippers,F
1627739,Kris Dunn,Los Angeles Clippers,G
203992,Bogdan Bogdanović,Los Angeles Clippers,G
201572,Brook Lopez,Los Angeles Clippers,C
1641757,Jordan Miller,Los Angeles Clippers,G
1642353,Cam Christie,Los Angeles Clippers,G
1642949,Yanic Konan Niederhäuser,Los Angeles Clippers,C
1643141,Jahmyl Telfort,Los Angeles Clippers,G
1628381,John Collins,Los Angeles Clippers,F-C
1641738,Kobe Brown,Los Angeles Clippers,F
201587,Nicolas Batum,Los Angeles Clippers,G-F
1627826,Ivica Zubac,Los Angeles Clippers,C
1642876,Adou Thiero,Los Angeles Lakers,G
1629020,Jarred Vanderbilt,Los Angeles Lakers,F
1641733,Nick Smith Jr.,Los Angeles Lakers,G
1642261,Dalton Knecht,Los Angeles Lakers,F
1629028,Deandre Ayton,Los Angeles Lakers,C
1629216,Gabe Vincent,Los Angeles Lakers,G
1642355,Bronny James,Los Angeles Lakers,G
1631132,Christian Koloko,Los Angeles Lakers,C
1629637,Jaxson Hayes,Los Angeles Lakers,C-F
1631222,Jake LaRavia,Los Angeles Lakers,F
1628467,Maxi Kleber,Los Angeles Lakers,F
1630559,Austin Reaves,Los Angeles Lakers,G
2544,LeBron James,Los Angeles Lakers,F
1629060,Rui Hachimura,Los Angeles Lakers,F
1643024,Chris Mañon,Los Angeles Lakers,G
203935,Marcus Smart,Los Angeles Lakers,G
